Year,World Population,Yearly,Net,Density
2023,8045311447.0,0.88%,"70,206,291",54
2022,7975105156.0,0.83%,"65,810,005",54
2021,7909295151.0,0.87%,"68,342,271",53
2020,7840952880.0,0.98%,"76,001,848",53
2019,7764951032.0,1.06%,"81,161,204",52
2018,7683789828.0,1.10%,"83,967,424",52
2017,7599822404.0,1.15%,"86,348,166",51
2016,7513474238.0,1.17%,"86,876,701",50
2015,7426597537.0,1.19%,"87,584,118",50
2014,7339013419.0,1.22%,"88,420,049",49
2013,7250593370.0,1.24%,"88,895,449",49
2012,7161697921.0,1.25%,"88,572,496",48
2011,7073125425.0,1.25%,"87,522,320",47
2010,6985603105.0,1.27%,"87,297,197",47
2009,6898305908.0,1.27%,"86,708,636",46
2008,6811597272.0,1.27%,"85,648,728",46
2007,6725948544.0,1.27%,"84,532,326",45
2006,6641416218.0,1.27%,"83,240,099",45
2005,6558176119.0,1.27%,"82,424,641",44
2004,6475751478.0,1.28%,"81,853,113",43
2003,6393898365.0,1.29%,"81,491,005",43
2002,6312407360.0,1.31%,"81,660,378",42
2001,6230746982.0,1.33%,"81,848,007",42
2000,6148898975.0,1.34%,"81,140,517",41
1999,6067758458.0,1.34%,"80,445,978",41
1998,5987312480.0,1.37%,"80,831,219",40
1997,5906481261.0,1.40%,"81,335,963",40
1996,5825145298.0,1.43%,"81,925,844",39
1995,5743219454.0,1.46%,"82,491,461",39
1994,5660727993.0,1.49%,"83,294,470",38
1993,5577433523.0,1.54%,"84,747,430",37
1992,5492686093.0,1.60%,"86,440,226",37
1991,5406245867.0,1.69%,"90,070,005",36
1990,5316175862.0,1.77%,"92,471,554",36
1989,5223704308.0,1.78%,"91,410,334",35
1988,5132293974.0,1.81%,"91,309,479",34
1987,5040984495.0,1.84%,"90,921,156",34
1986,4950063339.0,1.82%,"88,332,726",33
1985,4861730613.0,1.80%,"85,894,539",33
1984,4775836074.0,1.79%,"83,951,836",32
1983,4691884238.0,1.82%,"83,899,367",32
1982,4607984871.0,1.84%,"83,357,213",31
1981,4524627658.0,1.81%,"80,619,952",30
1980,4444007706.0,1.80%,"78,424,835",30
1979,4365582871.0,1.77%,"75,925,163",29
1978,4289657708.0,1.75%,"73,885,218",29
1977,4215772490.0,1.77%,"73,266,608",28
1976,4142505882.0,1.80%,"73,068,651",28
1975,4069437231.0,1.85%,"73,920,154",27
1974,3995517077.0,1.92%,"75,265,573",27
1973,3920251504.0,1.96%,"75,450,619",26
1972,3844800885.0,1.98%,"74,637,793",26
1971,3770163092.0,2.02%,"74,772,756",25
1970,3695390336.0,2.06%,"74,735,061",25
1969,3620655275.0,2.08%,"73,844,467",24
1968,3546810808.0,2.05%,"71,362,642",24
1967,3475448166.0,2.03%,"69,031,130",23
1966,3406417036.0,2.08%,"69,305,053",23
1965,3337111983.0,2.14%,"69,899,645",22
1964,3267212338.0,2.24%,"71,433,091",22
1963,3195779247.0,2.21%,"69,092,504",21
1962,3126686743.0,1.90%,"58,316,134",21
1961,3068370609.0,1.63%,"49,137,175",21
1960,3019233434.0,1.65%,"48,941,246",20
1959,2970292188.0,1.86%,"54,184,091",20
1958,2916108097.0,2.04%,"58,241,240",20
1957,2857866857.0,2.03%,"56,864,226",19
1956,2801002631.0,2.00%,"54,930,490",19
1955,2746072141.0,2.01%,"54,092,802",18
1954,2691979339.0,1.96%,"51,700,542",18
1953,2640278797.0,1.93%,"50,007,898",18
1952,2590270899.0,1.85%,"47,140,519",17
1951,2543130380.0,1.75%,"43,808,223",17
